,ORIGIN_CITY_NAME,AIRLINE_ID,DEST_CITY_NAME
45,"Boston, MA",19790,"Detroit, MI"
129,"Boston, MA",19790,"Los Angeles, CA"
130,"Boston, MA",19790,"Los Angeles, CA"
236,"Boston, MA",19790,"Minneapolis, MN"
251,"Boston, MA",19790,"New York, NY"
252,"Boston, MA",19790,"New York, NY"
254,"Boston, MA",19790,"New York, NY"
255,"Boston, MA",19790,"New York, NY"
257,"Boston, MA",19790,"New York, NY"
259,"Boston, MA",19790,"New York, NY"
323,"Boston, MA",19790,"Detroit, MI"
397,"Boston, MA",19790,"Atlanta, GA"
422,"Boston, MA",19790,"Detroit, MI"
511,"Boston, MA",19790,"Atlanta, GA"
535,"Boston, MA",19790,"Detroit, MI"
812,"Boston, MA",19790,"Atlanta, GA"
1003,"Boston, MA",19790,"Detroit, MI"
1009,"Boston, MA",19790,"Salt Lake City, UT"
1324,"Boston, MA",19790,"Minneapolis, MN"
1383,"Boston, MA",19790,"Atlanta, GA"
1405,"Boston, MA",19790,"Detroit, MI"
1474,"Boston, MA",19790,"Detroit, MI"
1523,"Boston, MA",19790,"New York, NY"
1571,"Boston, MA",19790,"Atlanta, GA"
1598,"Boston, MA",19790,"Detroit, MI"
1877,"Boston, MA",19790,"New York, NY"
1896,"Boston, MA",19790,"Atlanta, GA"
1909,"Boston, MA",19790,"Cincinnati, OH"
1962,"Boston, MA",19790,"New York, NY"
2013,"Boston, MA",19790,"Minneapolis, MN"
2025,"Boston, MA",19790,"Minneapolis, MN"
2038,"Boston, MA",19790,"Minneapolis, MN"
2069,"Boston, MA",19790,"Minneapolis, MN"
2073,"Boston, MA",19790,"Seattle, WA"
2118,"Boston, MA",19790,"Atlanta, GA"
2199,"Boston, MA",19790,"Atlanta, GA"
2425,"Boston, MA",19790,"New York, NY"
2567,"Boston, MA",19790,"Orlando, FL"
2647,"Boston, MA",19790,"Detroit, MI"
2696,"Boston, MA",19790,"Atlanta, GA"
2810,"Boston, MA",19790,"Atlanta, GA"
2896,"Boston, MA",19790,"Atlanta, GA"
2906,"Boston, MA",19790,"Salt Lake City, UT"
3114,"Boston, MA",19790,"Detroit, MI"
3120,"Boston, MA",19790,"Salt Lake City, UT"
3473,"Boston, MA",19790,"Minneapolis, MN"
3534,"Boston, MA",19790,"Detroit, MI"
3629,"Boston, MA",19790,"Los Angeles, CA"
3630,"Boston, MA",19790,"Los Angeles, CA"
3751,"Boston, MA",19790,"Minneapolis, MN"
3768,"Boston, MA",19790,"New York, NY"
3770,"Boston, MA",19790,"New York, NY"
3772,"Boston, MA",19790,"New York, NY"
3774,"Boston, MA",19790,"New York, NY"
3776,"Boston, MA",19790,"New York, NY"
3778,"Boston, MA",19790,"New York, NY"
3780,"Boston, MA",19790,"New York, NY"
3783,"Boston, MA",19790,"New York, NY"
3852,"Boston, MA",19790,"Detroit, MI"
3901,"Boston, MA",19790,"New York, NY"
3920,"Boston, MA",19790,"Atlanta, GA"
3933,"Boston, MA",19790,"Cincinnati, OH"
3986,"Boston, MA",19790,"New York, NY"
4037,"Boston, MA",19790,"Minneapolis, MN"
4049,"Boston, MA",19790,"Minneapolis, MN"
4062,"Boston, MA",19790,"Minneapolis, MN"
4095,"Boston, MA",19790,"Minneapolis, MN"
4099,"Boston, MA",19790,"Seattle, WA"
4145,"Boston, MA",19790,"Atlanta, GA"
4225,"Boston, MA",19790,"Atlanta, GA"
4285,"Boston, MA",19790,"Atlanta, GA"
4307,"Boston, MA",19790,"Detroit, MI"
4385,"Boston, MA",19790,"Detroit, MI"
4391,"Boston, MA",19790,"Atlanta, GA"
4407,"Boston, MA",19790,"Atlanta, GA"
4424,"Boston, MA",19790,"New York, NY"
4426,"Boston, MA",19790,"New York, NY"
4487,"Boston, MA",19790,"Atlanta, GA"
4550,"Boston, MA",19790,"Minneapolis, MN"
4610,"Boston, MA",19790,"Detroit, MI"
4705,"Boston, MA",19790,"Los Angeles, CA"
4706,"Boston, MA",19790,"Los Angeles, CA"
4828,"Boston, MA",19790,"Minneapolis, MN"
4845,"Boston, MA",19790,"New York, NY"
4847,"Boston, MA",19790,"New York, NY"
4849,"Boston, MA",19790,"New York, NY"
4851,"Boston, MA",19790,"New York, NY"
4853,"Boston, MA",19790,"New York, NY"
4855,"Boston, MA",19790,"New York, NY"
4857,"Boston, MA",19790,"New York, NY"
4859,"Boston, MA",19790,"New York, NY"
4862,"Boston, MA",19790,"New York, NY"
4932,"Boston, MA",19790,"Detroit, MI"
4944,"Boston, MA",19790,"Detroit, MI"
4993,"Boston, MA",19790,"New York, NY"
5041,"Boston, MA",19790,"Atlanta, GA"
5068,"Boston, MA",19790,"Detroit, MI"
5373,"Boston, MA",19790,"Atlanta, GA"
5383,"Boston, MA",19790,"Salt Lake City, UT"
5589,"Boston, MA",19790,"Detroit, MI"
5595,"Boston, MA",19790,"Salt Lake City, UT"
6163,"Boston, MA",19790,"New York, NY"
6304,"Boston, MA",19790,"Orlando, FL"
6384,"Boston, MA",19790,"Detroit, MI"
6433,"Boston, MA",19790,"Atlanta, GA"
6547,"Boston, MA",19790,"Atlanta, GA"
6581,"Boston, MA",19790,"Detroit, MI"
6630,"Boston, MA",19790,"New York, NY"
6678,"Boston, MA",19790,"Atlanta, GA"
6705,"Boston, MA",19790,"Detroit, MI"
7010,"Boston, MA",19790,"Atlanta, GA"
7020,"Boston, MA",19790,"Salt Lake City, UT"
7038,"Boston, MA",19790,"Minneapolis, MN"
7098,"Boston, MA",19790,"Detroit, MI"
7194,"Boston, MA",19790,"Los Angeles, CA"
7195,"Boston, MA",19790,"Los Angeles, CA"
7314,"Boston, MA",19790,"Minneapolis, MN"
7331,"Boston, MA",19790,"New York, NY"
7333,"Boston, MA",19790,"New York, NY"
7335,"Boston, MA",19790,"New York, NY"
7337,"Boston, MA",19790,"New York, NY"
7339,"Boston, MA",19790,"New York, NY"
7341,"Boston, MA",19790,"New York, NY"
7343,"Boston, MA",19790,"New York, NY"
7345,"Boston, MA",19790,"New York, NY"
7348,"Boston, MA",19790,"New York, NY"
7417,"Boston, MA",19790,"Detroit, MI"
7465,"Boston, MA",19790,"New York, NY"
7488,"Boston, MA",19790,"Atlanta, GA"
7501,"Boston, MA",19790,"Cincinnati, OH"
7554,"Boston, MA",19790,"New York, NY"
7605,"Boston, MA",19790,"Minneapolis, MN"
7617,"Boston, MA",19790,"Minneapolis, MN"
7630,"Boston, MA",19790,"Minneapolis, MN"
7661,"Boston, MA",19790,"Minneapolis, MN"
7665,"Boston, MA",19790,"Seattle, WA"
7712,"Boston, MA",19790,"Atlanta, GA"
7801,"Boston, MA",19790,"Atlanta, GA"
8027,"Boston, MA",19790,"New York, NY"
8168,"Boston, MA",19790,"Orlando, FL"
8248,"Boston, MA",19790,"Detroit, MI"
8295,"Boston, MA",19790,"Atlanta, GA"
8409,"Boston, MA",19790,"Atlanta, GA"
8620,"Boston, MA",19790,"Detroit, MI"
8626,"Boston, MA",19790,"Salt Lake City, UT"
9021,"Boston, MA",19790,"Atlanta, GA"
9043,"Boston, MA",19790,"Detroit, MI"
9120,"Boston, MA",19790,"Detroit, MI"
9126,"Boston, MA",19790,"Atlanta, GA"
9142,"Boston, MA",19790,"Atlanta, GA"
9159,"Boston, MA",19790,"New York, NY"
9161,"Boston, MA",19790,"New York, NY"
9224,"Boston, MA",19790,"Atlanta, GA"
9515,"Boston, MA",19790,"Atlanta, GA"
9537,"Boston, MA",19790,"Detroit, MI"
9615,"Boston, MA",19790,"Detroit, MI"
9621,"Boston, MA",19790,"Atlanta, GA"
9637,"Boston, MA",19790,"Atlanta, GA"
9654,"Boston, MA",19790,"New York, NY"
9656,"Boston, MA",19790,"New York, NY"
9721,"Boston, MA",19790,"Atlanta, GA"
9913,"Boston, MA",19790,"Orlando, FL"
9986,"Boston, MA",19790,"Detroit, MI"
10030,"Boston, MA",19790,"Atlanta, GA"
11779,"Boston, MA",20366,"Cleveland, OH"
11780,"Boston, MA",20366,"Cleveland, OH"
11781,"Boston, MA",20366,"Cleveland, OH"
